id,category,question,complexity,key_challenge,data_available,data_gap,response,sql_used,pipeline_mode,elapsed_ms,error
POP11,Medication and Safety Surveillance,Which patients are currently prescribed an NSAID and also have a documented peptic ulcer disease diagnosis or CKD?,Inference,Drug-disease interaction surveillance,False,No prescriptions/medications table in llm_ua_enterprise,"0 patients are currently prescribed an NSAID and also have a documented peptic ulcer disease diagnosis or CKD. The limiting factor was the lack of documentation for the 'peptic ulcer disease diagnosis' condition in this cohort's EHR. The patient with CKD, Lincoln Gray, does not meet the full criteria as they are not prescribed an NSAID.","Intersection of conditions: ['nsaid prescription', 'peptic ulcer disease diagnosis', 'ckd']",population_sql,23974,
POP12,Medication and Safety Surveillance,Find all patients on long-term corticosteroids with no osteoporosis diagnosis or DEXA scan on record.,Inference,Preventive care gap for medication risk,False,No prescriptions/medications table in llm_ua_enterprise,"0 patients meet the criteria. The limiting factor was the presence of osteoporosis diagnosis or DEXA scan on record, which was excluded.","Condition present=['long-term corticosteroids'], absent=['osteoporosis']",population_sql,19197,
POP13,Medication and Safety Surveillance,Which of my patients are prescribed both an anticoagulant and an antiplatelet agent without a documented indication for dual therapy?,Inference,Polypharmacy safety alert,False,No prescriptions/medications table in llm_ua_enterprise,"0 patients are prescribed both an anticoagulant and an antiplatelet agent without a documented indication for dual therapy. The limiting factor was the absence of patients with an antiplatelet agent prescription. 

Near-miss breakdown: 
- anticoagulant: 1 patient(s) — Mia Scott
- antiplatelet agent: 0 patients — this condition is not documented in this cohort's EHR

Closest near-miss: Mia Scott meets 1 of 2 criteria.","Intersection of conditions: ['anticoagulant', 'antiplatelet agent']",population_sql,26138,
POP14,Medication and Safety Surveillance,How many patients have been prescribed opioids for more than 90 consecutive days in the past year?,Synthesis,Chronic opioid use surveillance,False,No prescriptions/medications table in llm_ua_enterprise,"0 patients have been prescribed opioids for more than 90 consecutive days in the past year. The limiting factor was the count_matching field, which indicates that no patients met this criterion.","Latest observation: ['duration of opioid prescription'], threshold: NoneNone",population_sql,20469,
POP15,Medication and Safety Surveillance,List patients who are currently on metformin but have documented eGFR < 30.,Inference,Guideline-based contraindication alert,False,No prescriptions/medications table in llm_ua_enterprise,"0 patients are currently on metformin and have documented eGFR < 30. This is because no patients in the cohort are currently on metformin, which was the limiting factor.","Absence check: cond=['currently on metformin'], obs_absent=['eGFR >= 30'], date=None",population_sql,20638,
POP16,Preventive Care and Quality Metrics,How many of my diabetic patients aged 40-75 are not on a statin despite no documented contraindication?,Inference,Quality measure gap (HEDIS DM-CE),False,No prescriptions/medications table in llm_ua_enterprise,"0 patients. The criterion 'patients_with_required_conditions' was the limiting factor, as no patients in the cohort have the required condition 'diabetic'.","Condition present=['diabetic'], absent=['statin']",population_sql,19711,
POP17,Preventive Care and Quality Metrics,What percentage of my hypertensive patients have blood pressure controlled below 130/80 based on their most recent recorded reading?,Synthesis,Population BP control rate,True,,"100% of patients (12/12) have blood pressure controlled below 130/80 based on their most recent recorded reading.

Context note: All patients in this cohort have a recorded blood pressure measurement.","Latest observation: ['blood pressure'], threshold: <130.0",population_sql,27630,
POP18,Preventive Care and Quality Metrics,Which patients over 50 in my panel have no documented colorectal cancer screening in the past 10 years?,Inference,Cancer screening gap detection,False,Colorectal cancer screening not documented in observations table,0 patients have no documented colorectal cancer screening in the past 10 years. The limiting factor was the absence of any patients in the cohort.,"Absence check: cond=['colorectal cancer'], obs_absent=['colorectal cancer screening'], date=>= DATE_SUB(NOW(), INTERVAL 10 YEAR)",population_sql,19591,
POP19,Preventive Care and Quality Metrics,How many patients with a previous MI have documented annual lipid panels?,Synthesis,Monitoring compliance metric,True,,0 patients have a previous MI and documented annual lipid panels. The limiting factor was the lack of documented annual lipid panels.,"Absence check: cond=['previous mi'], obs_absent=['lipid panel'], date=None",population_sql,18705,
POP20,Preventive Care and Quality Metrics,Find all patients in my panel who have been hospitalised in the past year and have no documented primary care follow-up within 30 days of discharge.,Inference,Transition of care quality metric,False,Encounters table only has AMB class; no inpatient/hospitalisation data,0 patients. The limiting factor was the criterion of having no documented primary care follow-up within 30 days of discharge.,"Absence check: cond=['hospitalised in the past year'], obs_absent=['primary care follow-up within 30 days of discharge'], date=>= DATE_SUB(NOW(), INTERVAL 30 DAY)",population_sql,20577,
POP21,Cross-Hospital Utilisation and Care Coordination,Which patients have been seen at more than three different hospitals in the consortium in the past two years?,Synthesis,Multi-site utilisation tracking,True,,1 patient(s) have been seen at 3 or more different hospitals in the consortium: Amelia Parker (3 hospitals).,"Cross-hospital: min_h=3, contradiction=False",population_sql,13142,
POP22,Cross-Hospital Utilisation and Care Coordination,"Are there patients in my panel whose diagnoses at one consortium hospital contradict diagnoses at another (e.g., coded as diabetic at one site and non-diabetic at another)?",Inference,Cross-site data coherence auditing,True,,0 patients. The limiting factor was the absence of contradictions in the diagnoses.,"Cross-hospital: min_h=3, contradiction=True",population_sql,17753,
POP23,Cross-Hospital Utilisation and Care Coordination,Find patients with a heart failure diagnosis who have had no echocardiogram recorded at any consortium site in the past two years.,Inference,Multi-site imaging gap detection,True,,0 patients have a heart failure diagnosis and no echocardiogram recorded at any consortium site in the past two years. The limiting factor was the absence of patients with a heart failure diagnosis.,"Absence check: cond=['heart failure diagnosis', 'heart failure'], obs_absent=['echocardiogram'], date=None",population_sql,19072,
POP24,Cross-Hospital Utilisation and Care Coordination,Which of my complex patients have been seen by more than four specialities across the consortium in the past year?,Synthesis,Care coordination complexity index,False,Encounters table has no specialty/department field,0 patients have been seen at 5 or more different hospitals in the specified period. No patient in this cohort has reached that threshold.,"Cross-hospital: min_h=5, contradiction=False",population_sql,12721,
POP25,Cross-Hospital Utilisation and Care Coordination,"How many patients have had duplicate imaging studies (same modality, same body part) within 90 days across different consortium facilities?",Inference,Redundant utilisation detection,False,Imaging modality/body part not consistently coded in observations,0 patients have been seen at 3 or more different hospitals in the specified period. No patient in this cohort has reached that threshold.,"Cross-hospital: min_h=3, contradiction=False",population_sql,13660,
